"CITING","CITED"
3858582,3542023
3858582,3659602
3858582,3696806
3858583,2517482
3858583,3507277
3858583,3635219
3858583,3669113
3858583,3807400
3858584,297274
3858584,1052218
3858584,3212500
3858584,3316911
3858584,3804093
3858585,2486805
3858585,2952259
3858585,2952260
3858585,3005456
3858585,3525735
3858585,3589364
3858585,3731686
3858586,1945327
3858586,2008526
3858586,2022065
3858586,2047535
3858586,2102270
3858586,2382109
3858586,3163165
3858586,3294085
3858586,3357433
3858587,1507263
3858587,1669843
3858587,2494776
3858587,2786471
3858587,2820462
3858587,2888935
3858587,2911979
3858587,3251365
3858587,3324861
